,ID_CONCURSO,Órgão,Cargo,Banca,Local,Inscrição início,Inscrição fim,Data da prova,Status,Vagas,Salário base,Benefícios principais,Jornada,Estrutura objetiva,Discursiva,Edital oficial,Pasta Drive,Observações
0,CRBIO01-2026-ATI,CRBio-01,Analista – Analista de Tecnologia da Informação,Instituto Quadrix,São Paulo/SP,21/09/2026,21/10/2026,29/11/2026,inscrições abertas,"30 CR (18 AC, 2 PcD, 8 PN, 1 PI, 1 PQ)",7181.5,VR R$ 1.540; VA R$ 950; plano de saúde; plano de carreira; vale-transporte,40h/semana,120 itens: 40 básicos + 30 complementares + 50 específicos,20–30 linhas sobre conhecimentos específicos,https://anexos-r2.selecao.net.br/uploads/861/concursos/3071/anexos/1afe4f0b-7113-4dad-bf04-0c578b3fd24a.pdf,1GUtGFzXVMp1PK9VDS_fueuTiwPpk_1lW,Prova à tarde; banca Certo/Errado com penalização por erro.
1,SETEC-2026-ATI,SETEC – Serviços Técnicos Gerais,Analista Técnico (Informática),INDEPAC,Campinas/SP,08/09/2026,04/12/2026,17/01/2027,inscrições abertas,1 vaga + CR,8285.32,Vale-alimentação conforme edital,36h/semana ou até 180h/mês em escala,40 questões: 10 Português + 10 Matemática + 20 específicos,1 questão teórico-prática,https://anexos-r2.selecao.net.br/uploads/815/concursos/109/anexos/52b446b1-6df2-4a0c-a457-2215b9f5b58f.pdf,14XvemdkwUmOWHQDcNtVgQglY03Nbdjab,Prova em Campinas; objetiva de múltipla escolha com 4 alternativas.
,ID_TÓPICO,Disciplina,Assunto,Subassunto / escopo,CRBio,SETEC,Cobertura,Prioridade inicial,Fase,Status editorial,Observação
65,TI-INFRA-005,TI,Ativos e migração,"Gestão de ativos, implantação e migração de sistemas",Sim,Parcial,Parcial,3,Fase 1,ausente,
66,TI-CRB-001,TI,Governança de TIC,"Planejamento, acompanhamento, controle, métricas e relatórios",Sim,Parcial,Parcial,4,Fase 1,ausente,
67,TI-CRB-002,TI,"Políticas, normas e auditoria","Auditoria TIC, controles internos, conformidade",Sim,Não,Só CRBio,3,Fase 1,ausente,
68,TI-CRB-003,TI,Contratação de soluções de TIC,"Planejamento, seleção, gestão, Termo de Referência",Sim,Não,Só CRBio,4,Fase 1,ausente,
69,TI-CRB-004,TI,Fiscalização de contratos,"Fiscalização técnica/administrativa, SLA e indicadores",Sim,Não,Só CRBio,4,Fase 1,ausente,
70,TI-CRB-005,TI,Atendimento técnico estratégico,"Pareceres, notas técnicas, Ouvidoria, treinamentos",Sim,Não,Só CRBio,3,Fase 1,ausente,
71,LEG-001,Legislação,Ética no setor público,Ética e princípios da Administração Pública,Sim,Parcial,Parcial,4,Fase 1,ausente,SETEC cobra ética profissional
72,LEG-002,Legislação,Improbidade administrativa,Lei 8.429/1992,Sim,Não,Só CRBio,3,Fase 1,ausente,
73,LEG-003,Legislação,Processo administrativo,Lei 9.784/1999,Sim,Não,Só CRBio,3,Fase 1,ausente,
74,LEG-004,Legislação,Acesso à informação,Lei 12.527/2011,Sim,Não,Só CRBio,3,Fase 1,ausente,
75,LEG-005,Legislação,LGPD,Lei 13.709/2018,Sim,Sim,Comum,5,Fase 1,ausente,
76,LEG-006,Legislação,Marco Civil da Internet,Lei 12.965/2014,Não,Sim,Só SETEC,3,Fase 2,ausente,
,Chave,Valor
0,data_referencia,23/09/2026
1,concurso_foco_1,CRBIO01-2026-ATI
2,concurso_foco_2,SETEC-2026-ATI
3,fase_atual,Fase 1 — núcleo comum + exclusivos CRBio
4,regra_apos_prova,"Ao expirar a data da prova, retirar o concurso do ciclo ativo, salvo adiamento/suspensão/alteração oficial."
5,regra_reuso,Nunca apagar aula ou questão por encerramento de concurso; reaproveitar por ID permanente.
6,fonte_editorial,Google Drive
7,publicacao,ChatGPT → Drive → fila → ChatGPT Work → validação → GitHub → deploy → site
8,proxima_acao,"Produzir TI-BD-003 — SQL com imagem didática, vídeos verificados, questões e revisão."
9,distribuicao_ate_CRBio,90% CRBio/núcleo comum + 10% SETEC exclusiva
10,distribuicao_pos_CRBio,"Após 29/11/2026, SETEC assume o foco principal; conteúdos comuns permanecem em revisão."
11,regra_midia,"Toda aula publicada deve incluir imagem didática original e 1–3 vídeos do YouTube verificados, salvo exceção editorial justificada."
12,pasta_fontes,11_FONTES
13,regra_fontes,Toda aula deve registrar source_ids; priorizar P1/P2 e manter fontes complementares subordinadas às oficiais.
,ID_ITEM,Tipo,ID_CONTEÚDO,Título,Prioridade,Concursos,Status,Destino Drive,Status Work,Observações,Imagem,Vídeo YouTube,Status mídia
0,PUB-0001,aula,TI-BD-003,SQL — consulta e manipulação de dados,5,CRBio + SETEC,a produzir,02_CONTEUDO/Tecnologia da Informação,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
1,PUB-0002,aula,TI-RED-001,Modelos e arquitetura de redes,5,CRBio + SETEC,a produzir,02_CONTEUDO/Tecnologia da Informação,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
2,PUB-0003,aula,TI-SEG-001,Princípios de Segurança da Informação,5,CRBio + SETEC,a produzir,02_CONTEUDO/Tecnologia da Informação,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
3,PUB-0004,aula,TI-GOV-001,ITIL e COBIT,5,CRBio + SETEC,a produzir,02_CONTEUDO/Tecnologia da Informação,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
4,PUB-0005,aula,LEG-005,LGPD — Lei 13.709/2018,5,CRBio + SETEC,a produzir,02_CONTEUDO/Legislação,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
5,PUB-0006,aula,PORT-001,Interpretação de textos,5,CRBio + SETEC,a produzir,02_CONTEUDO/Português,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
6,PUB-0007,aula,MAT-003,Regra de três,5,CRBio + SETEC,a produzir,02_CONTEUDO/Matemática e Raciocínio Lógico,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
,Semana,Período,Foco principal,Conteúdos / IDs,Português / Matemática / Inglês,Questões,Revisão,Discursiva,Simulado,SETEC exclusiva,Meta da semana
0,S1,23/09–29/09,Banco de Dados + base comum,TI-BD-001; TI-BD-002; TI-BD-003; LEG-005,PORT-001; MAT-002; MAT-003; MAT-004,20–30 itens/dia; maioria Quadrix,D1 + D7 dos tópicos estudados,1 resposta curta sobre SQL/LGPD,Diagnóstico de 40 itens,1 bloco: TI-PROG-001,"Criar base: SQL, interpretação, regra de três e LGPD"
1,S2,30/09–06/10,Redes + Segurança,TI-RED-001; TI-RED-002; TI-RED-003; TI-RED-006; TI-SEG-001; TI-SEG-002,PORT-002; PORT-004; MAT-008; ING-001,25–35 itens/dia,D1 + D7 + erros,1 texto 20–30 linhas: segurança de redes,60 itens estilo Quadrix,1 bloco: TI-INFRA-002,"Dominar OSI/TCP-IP, protocolos, CIA e criptografia"
2,S3,07/10–13/10,Sistemas Operacionais + Cloud + Continuidade,TI-SO-001; TI-SO-002; TI-CLOUD-001; TI-FUND-001; TI-SEG-003; TI-SEG-004,PORT-005; PORT-006; MAT-001; MAT-005; ING-002,30–40 itens/dia,D1 + D7 + caderno de erros,1 texto: backup e continuidade,80 itens,1 bloco: TI-SO-003,"Consolidar Windows/Linux, processos, cloud e continuidade"
3,S4,14/10–20/10,Engenharia de Software,TI-ES-001; TI-ES-002; TI-ES-003; TI-ES-004; TI-ES-005,PORT-007; PORT-008; MAT-006; ING-003,30–40 itens/dia,D1 + D7 + D21,1 texto: Scrum/Kanban ou testes,80 itens + correção,1 bloco: TI-PROG-003,"Fechar ciclo de desenvolvimento, UML, ágil e testes"
4,S5,21/10–27/10,Governança de TI + Legislação,TI-GOV-001; TI-GOV-002; TI-GOV-003; TI-GOV-004; LEG-001; LEG-002; LEG-003; LEG-004; LEG-005,PORT-003; PORT-009; MAT-007,35–45 itens/dia,D1 + D7 + erros reincidentes,1 texto: ITIL/COBIT/LGPD,120 itens em 2 sessões,1 bloco: TI-GOV-005,Fechar governança e legislação complementar
5,S6,28/10–03/11,Núcleo específico CRBio,TI-CRB-001; TI-CRB-002; TI-CRB-003; TI-CRB-004; TI-CRB-005; TI-SEG-005,PORT-010; MAT-009; MAT-010,35–45 itens/dia,D1 + D7 + D21,2 textos: contratação TIC e auditoria/ISO,120 itens completo,1 bloco: TI-INFRA-003,Cobrir tópicos exclusivos antes da reta final
6,S7,04/11–10/11,Infraestrutura e redes aprofundadas,TI-INFRA-001; TI-INFRA-005; TI-RED-004; TI-RED-005; TI-BD-004,Revisão PORT-001..007; MAT-001..008,40–50 itens/dia,Revisão por erros + flashcards,1 texto: infraestrutura/migração,120 itens completo,1 bloco: TI-INFRA-004,"Integrar rede, servidores, serviços e banco"
7,S8,11/11–17/11,Fechamento do edital + lacunas,Revisar todos os status ausente/parcial da Fase 1,PORT-008..010; MAT-009..011; Inglês completo,50 itens/dia,D7/D21 + caderno de erros,2 discursivas em tempo controlado,2 simulados de 120 itens,1 bloco: TI-WEB-001/TI-WEB-002,Zerar lacunas do CRBio e identificar fraquezas
8,S9,18/11–24/11,Consolidação intensiva,SQL; Redes; Segurança; ITIL/COBIT; LGPD; SO; Engenharia; específicos CRBio,Revisão dirigida por desempenho,60 itens/dia; foco em erros,Somente pontos fracos,3 discursivas alternadas,2 simulados completos + análise,1 bloco: POO/APIs,Transformar erro em revisão; evitar conteúdo novo
9,S10,25/11–29/11,Revisão final CRBio,Mapas/resumos; leis; comandos SQL; protocolos; frameworks; ISO; contratação TIC,"Português, RLM e Inglês por erros",Questões selecionadas; reduzir na véspera,Revisão leve D1/D7/erros,1 última discursiva até 26/11,1 simulado até 26/11,Nenhum conteúdo exclusivo novo,Chegar à prova descansado e com erros revisados
,Regra,Quando,Ação,Duração sugerida,Questões,Destino dos erros
0,D0,Logo após estudar,Resumo ativo sem consultar + 3 pontos-chave,5–10 min,3–5 itens,Marcar tópico se errar
1,D1,1 dia depois,Revisar resumo/imagem + lembrar conceitos,10–15 min,5–10 itens,Caderno de erros
2,D7,7 dias depois,Revisão por questões e flashcards,15–25 min,10–15 itens,Reclassificar dificuldade
3,D21,21 dias depois,Revisão cumulativa,20–30 min,15–20 itens,"Se reincidente, prioridade +1"
4,ERRO,Sempre que errar,"Registrar motivo: conteúdo, distração, interpretação ou chute",5 min,Refazer após 48h,04_CADERNO_DE_ERROS
5,DISCURSIVA,1–3x por semana,"Resposta técnica com introdução curta, desenvolvimento objetivo e conclusão",30–45 min,Checklist de correção,06_DISCURSIVAS
6,SIMULADO,Semanal; intensificar nas últimas 3 semanas,Aplicar regra real da banca e controlar tempo,Conforme prova,40 → 60 → 80 → 120 itens,05_SIMULADOS + caderno de erros
,Ordem,ID_CONTEÚDO,Título,Concursos,Motivo,Imagem,Vídeo YouTube,Status
0,1,TI-BD-003,SQL — consulta e manipulação de dados,CRBio + SETEC,"Núcleo comum, alto peso e base para questões técnicas",obrigatória,1–3 vídeos verificados,a produzir
1,2,TI-RED-001,Modelos e arquitetura de redes,CRBio + SETEC,"Base para protocolos, equipamentos e segurança",obrigatória,1–3 vídeos verificados,a produzir
2,3,TI-SEG-001,Princípios de Segurança da Informação,CRBio + SETEC,Tema transversal e recorrente,obrigatória,1–3 vídeos verificados,a produzir
3,4,TI-GOV-001,ITIL e COBIT,CRBio + SETEC,Governança em ambos os editais,obrigatória,1–3 vídeos verificados,a produzir
4,5,LEG-005,LGPD — Lei 13.709/2018,CRBio + SETEC,Comum a ambos e propensa a discursiva,obrigatória,1–3 vídeos verificados,a produzir
5,6,PORT-001,Interpretação de textos,CRBio + SETEC,Base de Português para as duas provas,obrigatória,1–2 vídeos verificados,a produzir
6,7,MAT-003,Regra de três,CRBio + SETEC,Fundamento matemático comum,obrigatória,1–2 vídeos verificados,a produzir
7,8,TI-BD-001,Banco de dados relacional,CRBio + SETEC,Pré-requisito de SQL/modelagem,obrigatória,1–3 vídeos verificados,a produzir
8,9,TI-BD-002,Modelagem e normalização,CRBio + SETEC,Complementa banco/SQL,obrigatória,1–3 vídeos verificados,a produzir
9,10,TI-RED-002,Protocolos de rede,CRBio + SETEC,Alto potencial de questões,obrigatória,1–3 vídeos verificados,a produzir
10,11,TI-SEG-002,Criptografia e autenticação,CRBio + SETEC,Segurança comum,obrigatória,1–3 vídeos verificados,a produzir
11,12,TI-SO-001,Windows e Linux,CRBio + SETEC,Comum e base de infraestrutura,obrigatória,1–3 vídeos verificados,a produzir
12,13,TI-ES-001,Engenharia de software — ciclo de vida,CRBio + SETEC,Base de software,obrigatória,1–3 vídeos verificados,a produzir
13,14,TI-ES-004,Scrum e Kanban,CRBio + SETEC,Metodologias explícitas,obrigatória,1–3 vídeos verificados,a produzir
14,15,TI-SEG-004,Backup e continuidade,CRBio + SETEC,Segurança/infraestrutura,obrigatória,1–3 vídeos verificados,a produzir
15,16,TI-CRB-003,Contratação de soluções de TIC,CRBio,Exclusivo e relevante para a primeira prova,obrigatória,1–3 vídeos verificados,a produzir
16,17,TI-CRB-004,Fiscalização de contratos de TIC,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
17,18,TI-SEG-005,ISO/IEC 27001 e 27002,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
18,19,TI-CRB-002,Auditoria e conformidade de TIC,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
19,20,ING-001,Inglês — interpretação técnica,CRBio,Conhecimento básico específico do cargo,obrigatória,1–2 vídeos verificados,a produzir
,Item,Regra editorial,Obrigatório,Observação
0,ID permanente,Toda aula deve possuir ID estável e reutilizável,Sim,Nunca reutilizar ID para conteúdo diferente
1,Estrutura,Objetivos → teoria → exemplos → pegadinhas → resumo → questões → gabarito comentado → revisão,Sim,Adaptar profundidade ao edital
2,Referência ao edital,Indicar concursos e tópicos do edital atendidos,Sim,Uma aula pode atender vários concursos
3,Imagem didática,Criar ao menos 1 imagem original por aula quando o tema admitir representação visual,Sim,"Preferir diagramas, fluxos, mapas conceituais e esquemas; evitar imagem meramente decorativa"
4,Acessibilidade da imagem,"Registrar título, legenda e texto alternativo",Sim,Descrição objetiva do conteúdo visual
5,Vídeos do YouTube,Adicionar de 1 a 3 vídeos relevantes e verificados,Sim,"Priorizar fontes confiáveis, conteúdo atualizado e alinhado ao escopo do edital"
6,Uso dos vídeos,"Vídeo é complemento, nunca substituto da aula",Sim,"Registrar canal, título, URL, duração quando disponível e tópico relacionado"
7,Verificação de vídeo,Checar se o vídeo está disponível e corresponde ao título/tema antes da publicação,Sim,Evitar playlists genéricas quando houver vídeo específico melhor
8,Questões,Incluir treino compatível com a banca quando possível,Sim,"Para Quadrix, treinar certo/errado e penalização"
9,Discursiva,"Quando o assunto for candidato natural a discursiva, adicionar proposta de treino",Quando aplicável,"Segurança, LGPD, governança, contratação, redes, BD etc."
10,Atualização,"Revisar conteúdo quando edital, lei, norma ou tecnologia mudar",Sim,Registrar data e fonte da revisão
11,Mídia no Drive,Imagem e metadados de vídeo devem acompanhar o conteúdo antes de entrar em publicação,Sim,Work só publica aula completa ou explicitamente marcada como exceção
12,Fontes,Toda aula deve declarar source_ids vinculados ao cadastro FONTES,Sim,Aplicar PADRAO_FONTES; priorizar P1/P2.
13,Hierarquia de fontes,Usar P1/P2 como base factual; S1 para aprofundamento; C1 como complemento; D1 apenas descoberta,Sim,Nunca elevar fonte complementar acima de fonte oficial.
14,Verificação de fontes,Registrar versão/data e data de verificação antes da publicação,Sim,Conteúdos sujeitos a atualização devem ser revalidados.
,ID_MÍDIA,ID_CONTEÚDO,Tipo,Título/descrição,Origem,URL/arquivo Drive,Canal/autor,Texto alternativo,Status verificação,Data verificação,Observações
0,MODELO,TI-BD-003,imagem,Diagrama didático da execução de uma consulta SQL,Gerada por ChatGPT,,ChatGPT,"Fluxo mostrando SELECT, FROM, JOIN, WHERE, GROUP BY, HAVING e ORDER BY",pendente,,Gerar junto com a aula
1,MODELO-VIDEO,TI-BD-003,YouTube,Vídeo complementar de SQL,YouTube,,,Não se aplica,pendente,,Pesquisar e verificar ao produzir TI-BD-003
,ID_FONTE,Título,Tipo,Nível,Instituição / Autor,URL / arquivo Drive,Versão / data publicação,Data verificação,Status,Disciplina / área,IDs de conteúdo,Concursos relacionados,Uso,Pasta,Observações / limitações
0,SRC-CRBIO01-EDITAL-001,CRBio-01 — Edital nº 1/2026,Edital,P1,CRBio-01 / Instituto Quadrix,https://anexos-r2.selecao.net.br/uploads/861/concursos/3071/anexos/1afe4f0b-7113-4dad-bf04-0c578b3fd24a.pdf,2026,23/09/2026,ativo,Geral,MATRIZ_EDITAIS,CRBIO01-2026-ATI,fonte canônica do escopo do concurso,01_EDITAIS,Não duplicar PDF em 11_FONTES; registrar e referenciar a cópia canônica em 01_EDITAIS.
1,SRC-SETEC-EDITAL-001,SETEC — Analista Técnico (Informática) — Edital,Edital,P1,SETEC / INDEPAC,https://anexos-r2.selecao.net.br/uploads/815/concursos/109/anexos/52b446b1-6df2-4a0c-a457-2215b9f5b58f.pdf,2026,23/09/2026,ativo,Geral,MATRIZ_EDITAIS,SETEC-2026-ATI,fonte canônica do escopo do concurso,01_EDITAIS,Não duplicar PDF em 11_FONTES; registrar e referenciar a cópia canônica em 01_EDITAIS.
,Categoria,Código,Definição,Exemplos,Regra de uso
0,Hierarquia,P1,Fonte primária oficial ou normativa,Edital/retificação; lei/decreto; RFC; norma oficial; documentação oficial de produto/framework; publicação do órgão competente,Tem precedência sobre todas as demais. Obrigatória para afirmações normativas e especificações quando disponível.
