,ID_CONCURSO,Órgão,Cargo,Banca,Local,Inscrição início,Inscrição fim,Data da prova,Status,Vagas,Salário base,Benefícios principais,Jornada,Estrutura objetiva,Discursiva,Edital oficial,Pasta Drive,Observações
0,CRBIO01-2026-ATI,CRBio-01,Analista – Analista de Tecnologia da Informação,Instituto Quadrix,São Paulo/SP,21/09/2026,21/10/2026,29/11/2026,inscrições abertas,"30 CR (18 AC, 2 PcD, 8 PN, 1 PI, 1 PQ)",7181.5,VR R$ 1.540; VA R$ 950; plano de saúde; plano de carreira; vale-transporte,40h/semana,120 itens: 40 básicos + 30 complementares + 50 específicos,20–30 linhas sobre conhecimentos específicos,https://anexos-r2.selecao.net.br/uploads/861/concursos/3071/anexos/1afe4f0b-7113-4dad-bf04-0c578b3fd24a.pdf,1GUtGFzXVMp1PK9VDS_fueuTiwPpk_1lW,Prova à tarde; banca Certo/Errado com penalização por erro.
1,SETEC-2026-ATI,SETEC – Serviços Técnicos Gerais,Analista Técnico (Informática),INDEPAC,Campinas/SP,08/09/2026,04/12/2026,17/01/2027,inscrições abertas,1 vaga + CR,8285.32,Vale-alimentação conforme edital,36h/semana ou até 180h/mês em escala,40 questões: 10 Português + 10 Matemática + 20 específicos,1 questão teórico-prática,https://anexos-r2.selecao.net.br/uploads/815/concursos/109/anexos/52b446b1-6df2-4a0c-a457-2215b9f5b58f.pdf,14XvemdkwUmOWHQDcNtVgQglY03Nbdjab,Prova em Campinas; objetiva de múltipla escolha com 4 alternativas.
,ID_TÓPICO,Disciplina,Assunto,Subassunto / escopo,CRBio,SETEC,Cobertura,Prioridade inicial,Fase,Status editorial,Observação
59,TI-GOV-004,TI,"SLA, indicadores e métricas",Indicadores e níveis de serviço,Sim,Parcial,Parcial,4,Fase 1,ausente,
60,TI-GOV-005,TI,Gestão de projetos / PMBOK,Gestão de projetos e noções de PMBOK,Não,Sim,Só SETEC,3,Fase 2,ausente,
61,TI-INFRA-001,TI,Servidores Windows/Linux,Administração de servidores,Parcial,Sim,Parcial,4,Fase 1,ausente,
62,TI-INFRA-002,TI,Active Directory,"AD, usuários, permissões e compartilhamentos",Não,Sim,Só SETEC,3,Fase 2,ausente,
63,TI-INFRA-003,TI,Microsoft 365,Administração e serviços,Não,Sim,Só SETEC,3,Fase 2,ausente,
64,TI-INFRA-004,TI,Monitoramento e automação,Monitoramento e scripts,Não,Sim,Só SETEC,3,Fase 2,ausente,
65,TI-INFRA-005,TI,Ativos e migração,"Gestão de ativos, implantação e migração de sistemas",Sim,Parcial,Parcial,3,Fase 1,ausente,
66,TI-CRB-001,TI,Governança de TIC,"Planejamento, acompanhamento, controle, métricas e relatórios",Sim,Parcial,Parcial,4,Fase 1,ausente,
67,TI-CRB-002,TI,"Políticas, normas e auditoria","Auditoria TIC, controles internos, conformidade",Sim,Não,Só CRBio,3,Fase 1,ausente,
68,TI-CRB-003,TI,Contratação de soluções de TIC,"Planejamento, seleção, gestão, Termo de Referência",Sim,Não,Só CRBio,4,Fase 1,ausente,
69,TI-CRB-004,TI,Fiscalização de contratos,"Fiscalização técnica/administrativa, SLA e indicadores",Sim,Não,Só CRBio,4,Fase 1,ausente,
70,TI-CRB-005,TI,Atendimento técnico estratégico,"Pareceres, notas técnicas, Ouvidoria, treinamentos",Sim,Não,Só CRBio,3,Fase 1,ausente,
71,LEG-001,Legislação,Ética no setor público,Ética e princípios da Administração Pública,Sim,Parcial,Parcial,4,Fase 1,ausente,SETEC cobra ética profissional
72,LEG-002,Legislação,Improbidade administrativa,Lei 8.429/1992,Sim,Não,Só CRBio,3,Fase 1,ausente,
73,LEG-003,Legislação,Processo administrativo,Lei 9.784/1999,Sim,Não,Só CRBio,3,Fase 1,ausente,
74,LEG-004,Legislação,Acesso à informação,Lei 12.527/2011,Sim,Não,Só CRBio,3,Fase 1,ausente,
75,LEG-005,Legislação,LGPD,Lei 13.709/2018,Sim,Sim,Comum,5,Fase 1,em produção,LEG-005-01 concluída; estrutura incremental de 9 subunidades criada. Texto legal compilado vigente é a fonte canônica.
76,LEG-006,Legislação,Marco Civil da Internet,Lei 12.965/2014,Não,Sim,Só SETEC,3,Fase 2,ausente,
,Chave,Valor
0,data_referencia,24/09/2026
1,concurso_foco_1,CRBIO01-2026-ATI
2,concurso_foco_2,SETEC-2026-ATI
3,fase_atual,Fase 1 — núcleo comum + exclusivos CRBio
4,regra_apos_prova,"Ao expirar a data da prova, retirar o concurso do ciclo ativo, salvo adiamento/suspensão/alteração oficial."
5,regra_reuso,Nunca apagar aula ou questão por encerramento de concurso; reaproveitar por ID permanente.
6,fonte_editorial,Google Drive
7,publicacao,ChatGPT → Drive → fila → ChatGPT Work → validação → GitHub → deploy → site
8,proxima_acao,"LEG-005 — LGPD em produção. LEG-005-01 a LEG-005-04 concluídas. Próxima subunidade: LEG-005-05 — Tratamento pelo Poder Público e uso compartilhado, arts. 23 a 32; pesquisar primeiro questões reais Quadrix e INDEPAC e aprofundar finalidade pública, transparência, interoperabilidade, compartilhamento com privados e responsabilidades."
9,distribuicao_ate_CRBio,90% CRBio/núcleo comum + 10% SETEC exclusiva
10,distribuicao_pos_CRBio,"Após 29/11/2026, SETEC assume o foco principal; conteúdos comuns permanecem em revisão."
11,regra_midia,"Toda aula publicada deve incluir imagem didática original e 1–3 vídeos do YouTube verificados, salvo exceção editorial justificada."
12,pasta_fontes,11_FONTES
13,regra_fontes,Toda aula deve registrar source_ids; priorizar P1/P2 e manter fontes complementares subordinadas às oficiais.
14,regra_questoes_banca,"Antes de concluir cada subtema: pesquisar questões anteriores Quadrix e INDEPAC, registrar em QUESTOES_BANCAS e criar treino calibrado; se não houver questão exata, registrar a lacuna."
15,regra_questoes_literal,"Usar literalmente questões anteriores da mesma banca quando localizadas, com resposta e explicação própria. Só criar autorais quando a busca documentada não encontrar questão adequada."
16,regra_leitura_edge,"Todo material deve ser escrito para leitura fluida pelo leitor de voz do Edge, sem mencionar essa adaptação no corpo da aula."
,ID_ITEM,Tipo,ID_CONTEÚDO,Título,Prioridade,Concursos,Status,Destino Drive,Status Work,Observações,Imagem,Vídeo YouTube,Status mídia
0,PUB-0001,aula,TI-BD-003,SQL — consulta e manipulação de dados,5,CRBio + SETEC,publicado,02_CONTEUDO/Tecnologia da Informação/Banco de Dados/TI-BD-003,publicado,Cobertura 28/28 concluída; auditoria de banca e duplicidades concluída; revisão final e treino discursivo/prático prontos.,2 imagens verificadas e reutilizadas na revisão,3 vídeos verificados,concluído
1,PUB-0002,aula,TI-RED-001,Modelos e arquitetura de redes,5,CRBio + SETEC,pronto para validação,02_CONTEUDO/Tecnologia da Informação/Redes/RED-001,aguardando validação/Work,"Reutilização incremental do RED-001 concluída; TI-RED-001 6/6. Questões reais Quadrix reutilizadas sem duplicação; buscas negativas INDEPAC registradas; revisão final, mídia e fontes concluídas.",TI-RED-001-IMG-001 verificada e registrada,2 vídeos verificados,pendente
2,PUB-0003,aula,TI-SEG-001,Princípios de Segurança da Informação,5,CRBio + SETEC,pronto para validação,01_Materias_Consolidadas/seguranca-informacao-cibernetica/SI-001,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
3,PUB-0004,aula,TI-GOV-001,ITIL e COBIT,5,CRBio + SETEC,pronto para validação,01_Materias_Consolidadas/gestao-servicos-governanca-ti/GSTI-001+GSTI-002+GSTI-003,aguardando validação/Work,"TI-GOV-001 4/4 concluído por reutilização incremental; questões reais Quadrix, buscas negativas INDEPAC, controle de versões, mídia, revisões e checklist concluídos.",TI-GOV-001-IMG-001 verificada e incorporada ao GSTI-001,2 vídeos verificados,concluído
4,PUB-0005,aula,LEG-005,LGPD — Lei 13.709/2018,5,CRBio + SETEC,em produção,02_CONTEUDO/Legislação/LEG-005,não iniciado,"LEG-005 em produção: unidades 01 e 02 concluídas; texto legal vigente, 8 referências reais Quadrix e buscas negativas INDEPAC documentadas; próximos: dados sensíveis/crianças/término.",obrigatória,obrigatório,pendente
5,PUB-0006,aula,PORT-001,Interpretação de textos,5,CRBio + SETEC,a produzir,02_CONTEUDO/Português,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
6,PUB-0007,aula,MAT-003,Regra de três,5,CRBio + SETEC,a produzir,02_CONTEUDO/Matemática e Raciocínio Lógico,não iniciado,Núcleo comum,obrigatória,obrigatório,pendente
,Semana,Período,Foco principal,Conteúdos / IDs,Português / Matemática / Inglês,Questões,Revisão,Discursiva,Simulado,SETEC exclusiva,Meta da semana
0,S1,23/09–29/09,Banco de Dados + base comum,TI-BD-001; TI-BD-002; TI-BD-003; LEG-005,PORT-001; MAT-002; MAT-003; MAT-004,20–30 itens/dia; maioria Quadrix,D1 + D7 dos tópicos estudados,1 resposta curta sobre SQL/LGPD,Diagnóstico de 40 itens,1 bloco: TI-PROG-001,"Criar base: SQL, interpretação, regra de três e LGPD"
1,S2,30/09–06/10,Redes + Segurança,TI-RED-001; TI-RED-002; TI-RED-003; TI-RED-006; TI-SEG-001; TI-SEG-002,PORT-002; PORT-004; MAT-008; ING-001,25–35 itens/dia,D1 + D7 + erros,1 texto 20–30 linhas: segurança de redes,60 itens estilo Quadrix,1 bloco: TI-INFRA-002,"Dominar OSI/TCP-IP, protocolos, CIA e criptografia"
2,S3,07/10–13/10,Sistemas Operacionais + Cloud + Continuidade,TI-SO-001; TI-SO-002; TI-CLOUD-001; TI-FUND-001; TI-SEG-003; TI-SEG-004,PORT-005; PORT-006; MAT-001; MAT-005; ING-002,30–40 itens/dia,D1 + D7 + caderno de erros,1 texto: backup e continuidade,80 itens,1 bloco: TI-SO-003,"Consolidar Windows/Linux, processos, cloud e continuidade"
3,S4,14/10–20/10,Engenharia de Software,TI-ES-001; TI-ES-002; TI-ES-003; TI-ES-004; TI-ES-005,PORT-007; PORT-008; MAT-006; ING-003,30–40 itens/dia,D1 + D7 + D21,1 texto: Scrum/Kanban ou testes,80 itens + correção,1 bloco: TI-PROG-003,"Fechar ciclo de desenvolvimento, UML, ágil e testes"
4,S5,21/10–27/10,Governança de TI + Legislação,TI-GOV-001; TI-GOV-002; TI-GOV-003; TI-GOV-004; LEG-001; LEG-002; LEG-003; LEG-004; LEG-005,PORT-003; PORT-009; MAT-007,35–45 itens/dia,D1 + D7 + erros reincidentes,1 texto: ITIL/COBIT/LGPD,120 itens em 2 sessões,1 bloco: TI-GOV-005,Fechar governança e legislação complementar
5,S6,28/10–03/11,Núcleo específico CRBio,TI-CRB-001; TI-CRB-002; TI-CRB-003; TI-CRB-004; TI-CRB-005; TI-SEG-005,PORT-010; MAT-009; MAT-010,35–45 itens/dia,D1 + D7 + D21,2 textos: contratação TIC e auditoria/ISO,120 itens completo,1 bloco: TI-INFRA-003,Cobrir tópicos exclusivos antes da reta final
6,S7,04/11–10/11,Infraestrutura e redes aprofundadas,TI-INFRA-001; TI-INFRA-005; TI-RED-004; TI-RED-005; TI-BD-004,Revisão PORT-001..007; MAT-001..008,40–50 itens/dia,Revisão por erros + flashcards,1 texto: infraestrutura/migração,120 itens completo,1 bloco: TI-INFRA-004,"Integrar rede, servidores, serviços e banco"
7,S8,11/11–17/11,Fechamento do edital + lacunas,Revisar todos os status ausente/parcial da Fase 1,PORT-008..010; MAT-009..011; Inglês completo,50 itens/dia,D7/D21 + caderno de erros,2 discursivas em tempo controlado,2 simulados de 120 itens,1 bloco: TI-WEB-001/TI-WEB-002,Zerar lacunas do CRBio e identificar fraquezas
8,S9,18/11–24/11,Consolidação intensiva,SQL; Redes; Segurança; ITIL/COBIT; LGPD; SO; Engenharia; específicos CRBio,Revisão dirigida por desempenho,60 itens/dia; foco em erros,Somente pontos fracos,3 discursivas alternadas,2 simulados completos + análise,1 bloco: POO/APIs,Transformar erro em revisão; evitar conteúdo novo
9,S10,25/11–29/11,Revisão final CRBio,Mapas/resumos; leis; comandos SQL; protocolos; frameworks; ISO; contratação TIC,"Português, RLM e Inglês por erros",Questões selecionadas; reduzir na véspera,Revisão leve D1/D7/erros,1 última discursiva até 26/11,1 simulado até 26/11,Nenhum conteúdo exclusivo novo,Chegar à prova descansado e com erros revisados
,Regra,Quando,Ação,Duração sugerida,Questões,Destino dos erros
0,D0,Logo após estudar,Resumo ativo sem consultar + 3 pontos-chave,5–10 min,3–5 itens,Marcar tópico se errar
1,D1,1 dia depois,Revisar resumo/imagem + lembrar conceitos,10–15 min,5–10 itens,Caderno de erros
2,D7,7 dias depois,Revisão por questões e flashcards,15–25 min,10–15 itens,Reclassificar dificuldade
3,D21,21 dias depois,Revisão cumulativa,20–30 min,15–20 itens,"Se reincidente, prioridade +1"
4,ERRO,Sempre que errar,"Registrar motivo: conteúdo, distração, interpretação ou chute",5 min,Refazer após 48h,04_CADERNO_DE_ERROS
5,DISCURSIVA,1–3x por semana,"Resposta técnica com introdução curta, desenvolvimento objetivo e conclusão",30–45 min,Checklist de correção,06_DISCURSIVAS
6,SIMULADO,Semanal; intensificar nas últimas 3 semanas,Aplicar regra real da banca e controlar tempo,Conforme prova,40 → 60 → 80 → 120 itens,05_SIMULADOS + caderno de erros
7,TI-BD-003 D0,23/09/2026,Revisão ativa do mapa mental + ordem lógica + NULL/JOIN/agregações,10–15 min,5–10 itens,04_CADERNO_DE_ERROS se houver erro
8,TI-BD-003 D1,24/09/2026,Revisar resumo e mídias + recuperar conceitos sem consultar,15–20 min,10 itens,04_CADERNO_DE_ERROS
9,TI-BD-003 D7,30/09/2026,Questões reais Quadrix + flashcards + análise de consulta,25–35 min,15–20 itens,Reclassificar dificuldades
10,TI-BD-003 D21,14/10/2026,Revisão cumulativa + discursiva/prática + questões de erros reincidentes,35–50 min,20–30 itens,Prioridade +1 para reincidências
11,TI-SEG-001 D0,23/09/2026,Revisar mapa CIA + autenticidade; explicar diferenças sem consulta e resolver duas questões reais Quadrix,10–15 min,5–10 itens,04_CADERNO_DE_ERROS se houver erro
12,TI-SEG-001 D1,24/09/2026,"Revisar imagem e recuperar de memória CIA, autenticação, não repúdio, ameaça e vulnerabilidade",15–20 min,10 itens,04_CADERNO_DE_ERROS
13,TI-SEG-001 D7,30/09/2026,Questões reais Quadrix + fallbacks INDEPAC + flashcards; reconstruir cadeia de risco,25–35 min,15–20 itens,Reclassificar dificuldades
14,TI-SEG-001 D21,14/10/2026,"Revisão cumulativa do tema, priorizando erros reincidentes e justificativa verbal de cada resposta",30–45 min,20–25 itens,Prioridade +1 para reincidências
,Ordem,ID_CONTEÚDO,Título,Concursos,Motivo,Imagem,Vídeo YouTube,Status
0,1,TI-BD-003,SQL — consulta e manipulação de dados,CRBio + SETEC,"Núcleo comum, alto peso e base para questões técnicas",obrigatória,1–3 vídeos verificados,concluído
1,2,TI-RED-001,Modelos e arquitetura de redes,CRBio + SETEC,"Base para protocolos, equipamentos e segurança",obrigatória,1–3 vídeos verificados,concluído
2,3,TI-SEG-001,Princípios de Segurança da Informação,CRBio + SETEC,Tema transversal e recorrente,obrigatória,1–3 vídeos verificados,concluído
3,4,TI-GOV-001,ITIL e COBIT,CRBio + SETEC,Governança em ambos os editais,obrigatória,1–3 vídeos verificados,concluído
4,5,LEG-005,LGPD — Lei 13.709/2018,CRBio + SETEC,Comum a ambos e propensa a discursiva,obrigatória,1–3 vídeos verificados,em produção
5,6,PORT-001,Interpretação de textos,CRBio + SETEC,Base de Português para as duas provas,obrigatória,1–2 vídeos verificados,a produzir
6,7,MAT-003,Regra de três,CRBio + SETEC,Fundamento matemático comum,obrigatória,1–2 vídeos verificados,a produzir
7,8,TI-BD-001,Banco de dados relacional,CRBio + SETEC,Pré-requisito de SQL/modelagem,obrigatória,1–3 vídeos verificados,a produzir
8,9,TI-BD-002,Modelagem e normalização,CRBio + SETEC,Complementa banco/SQL,obrigatória,1–3 vídeos verificados,a produzir
9,10,TI-RED-002,Protocolos de rede,CRBio + SETEC,Alto potencial de questões,obrigatória,1–3 vídeos verificados,a produzir
10,11,TI-SEG-002,Criptografia e autenticação,CRBio + SETEC,Segurança comum,obrigatória,1–3 vídeos verificados,a produzir
11,12,TI-SO-001,Windows e Linux,CRBio + SETEC,Comum e base de infraestrutura,obrigatória,1–3 vídeos verificados,a produzir
12,13,TI-ES-001,Engenharia de software — ciclo de vida,CRBio + SETEC,Base de software,obrigatória,1–3 vídeos verificados,a produzir
13,14,TI-ES-004,Scrum e Kanban,CRBio + SETEC,Metodologias explícitas,obrigatória,1–3 vídeos verificados,a produzir
14,15,TI-SEG-004,Backup e continuidade,CRBio + SETEC,Segurança/infraestrutura,obrigatória,1–3 vídeos verificados,a produzir
15,16,TI-CRB-003,Contratação de soluções de TIC,CRBio,Exclusivo e relevante para a primeira prova,obrigatória,1–3 vídeos verificados,a produzir
16,17,TI-CRB-004,Fiscalização de contratos de TIC,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
17,18,TI-SEG-005,ISO/IEC 27001 e 27002,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
18,19,TI-CRB-002,Auditoria e conformidade de TIC,CRBio,Exclusivo CRBio,obrigatória,1–3 vídeos verificados,a produzir
19,20,ING-001,Inglês — interpretação técnica,CRBio,Conhecimento básico específico do cargo,obrigatória,1–2 vídeos verificados,a produzir
,Item,Regra editorial,Obrigatório,Observação
0,ID permanente,Toda aula deve possuir ID estável e reutilizável,Sim,Nunca reutilizar ID para conteúdo diferente
1,Estrutura,Objetivos → teoria → exemplos → pegadinhas → resumo → questões → gabarito comentado → revisão,Sim,Adaptar profundidade ao edital
2,Referência ao edital,Indicar concursos e tópicos do edital atendidos,Sim,Uma aula pode atender vários concursos
